Post Link,Tags,AnswerCount,ViewCount
"13090838","<r><markdown><knitr><rstudio><r-markdown>","4","136491"
"25166624","<r><r-markdown>","4","126406"
"11025123","<r-markdown><knitr><pandoc>","8","82987"
"17963962","<r><knitr><pandoc><beamer><r-markdown>","2","70710"
"15488350","<r><markdown><knitr><r-markdown>","7","66585"
"13091112","<r-markdown><knitr>","4","59812"
"25240541","<r><r-markdown>","2","58775"
"22081991","<r><macos><pandoc><pdflatex><r-markdown>","5","50538"
"24677642","<r><markdown><r-markdown>","5","44782"
"23449319","<r><yaml><knitr><r-markdown>","6","44115"
"17046518","<r-markdown><knitr>","2","41954"
"29067541","<r><r-markdown>","5","41326"
"15385696","<r-markdown><knitr>","1","41301"
"10646665","<r><rstudio><knitr><r-markdown>","4","36085"
"19997242","<r><knitr><pandoc><r-markdown>","1","35285"
"15406028","<r><knitr><r-markdown>","3","35233"
"24425786","<r><markdown><r-markdown>","3","35164"
"23957278","<r><rstudio><r-markdown>","3","34873"
"30057110","<r><markdown><r-markdown><tufte>","2","33640"
"15757695","<r><markdown><knitr><subscript><r-markdown>","3","33407"
"10902504","<r><knitr><r-markdown>","3","30575"
"26043807","<r><yaml><rstudio><r-markdown>","5","29465"
"29274501","<r><knitr><r-markdown>","2","28869"
"24421235","<r><pdf><latex><yaml><r-markdown>","2","26795"
"25834007","<r><markdown><knitr><r-markdown><read.table>","4","25930"
"19697402","<r><r-markdown>","2","25723"
"35827838","<markdown><r-markdown>","2","25286"
"25849814","<r><pdf><rstudio><knitr><r-markdown>","4","24564"
"25646333","<r><latex><knitr><r-markdown>","3","24454"
"30446905","<css><r><fonts><r-markdown>","1","24338"
"23709060","<r><plot><r-markdown>","1","23868"
"29787850","<r><hyperlink><knitr><r-markdown>","3","23233"
"13848137","<r><markdown><knitr><r-markdown>","5","23143"
"20060518","<r><rstudio><r-markdown>","1","19930"
"26666839","<r><r-markdown>","2","19827"
"29696172","<r><knitr><r-markdown>","6","19496"
"13540955","<r><ggplot2><markdown><r-markdown>","1","18510"
"31753897","<html><r><r-markdown>","4","17810"
"24496233","<r><rstudio><r-markdown>","4","16790"
"28432607","<pandoc><r-markdown><shiny-server>","6","16551"
"15081212","<r-markdown><knitr>","1","16362"
"20847371","<r><knitr><rstudio><r-markdown><slidify>","5","16212"
"37115276","<r><knitr><r-markdown>","1","15900"
"38861041","<r><latex><knitr><r-markdown><cross-reference>","2","15877"
"32785284","<r><knitr><markup><r-markdown>","1","15573"
"20942466","<r><markdown><knitr><rstudio><r-markdown>","1","15226"
"25329375","<r-markdown><knitr><pandoc>","1","15056"
"26881866","<r><r-markdown>","4","14936"
"43820483","<r><rstudio><knitr><r-markdown><rnotebook>","8","14631"
"31064353","<knitr><r-markdown><pandoc>","3","14251"
"31830974","<r><pdf><knitr><r-markdown><pandoc>","2","14035"
"25382459","<yaml><rstudio><r-markdown>","1","13590"
"25837990","<r><knitr><r-markdown>","1","13500"
"27982052","<r><pdf><yaml><knitr><r-markdown>","4","13464"
"46171362","<r><r-markdown>","2","13414"
"25824795","<r><knitr><pandoc><r-markdown>","3","13174"
"38036680","<r><latex><knitr><r-markdown>","2","12987"
"32855330","<r><rstudio><knitr><dplyr><r-markdown>","0","12334"
"24342162","<r><knitr><pandoc><r-markdown>","6","12123"
"40938561","<r><plot><rstudio><r-markdown>","4","12071"
"31926623","<r><knitr><r-markdown>","2","11947"
"30959839","<r><rstudio><knitr><r-markdown>","2","11466"
"33269675","<r><markdown><r-markdown>","2","11410"
"28032846","<r><r-markdown>","3","11393"
"36350213","<r><image><latex><knitr><r-markdown>","1","11347"
"28507693","<r><command-line><automation><argument-passing><r-markdown>","1","11331"
"32946203","<r><latex><rstudio><r-markdown><bibliography>","2","11315"
"41900335","<r><knitr><r-markdown>","2","10695"
"14879210","<html><r><knitr><rgl><r-markdown>","1","10661"
"26049762","<r><latex><knitr><rstudio><r-markdown>","1","10648"
"13984470","<r><latex><knitr><xtable><r-markdown>","6","10577"
"28000062","<r><knitr><r-markdown><beamer>","3","10566"
"24091735","<knitr><rstudio><pandoc><r-markdown>","4","10549"
"29532214","<r><knitr><r-markdown><pandoc><beamer>","3","10459"
"36524238","<html><r><markdown><r-markdown>","3","10322"
"28500096","<r><markdown><knitr><r-markdown>","3","10296"
"33965560","<r><markdown><r-markdown>","1","10283"
"28895109","<r><r-markdown>","2","10044"
"28323382","<r><knitr><r-markdown>","1","9981"
"47710427","<r><knitr><r-markdown>","1","9840"
"25407102","<r><knitr><r-markdown>","5","9822"
"45299493","<r><knitr><r-markdown><data-science>","1","9798"
"43239868","<ms-word><rstudio><knitr><r-markdown><blank-line>","2","9710"
"33319457","<r><format><r-markdown><knitr>","1","9707"
"29508059","<r><rstudio><knitr><r-markdown>","2","9665"
"30519673","<r><r-markdown>","1","9658"
"48224162","<r><pdf><latex><knitr><r-markdown>","4","9539"
"21126776","<knitr><rstudio><r-markdown>","1","9456"
"41717781","<r><r-markdown>","2","9444"
"16172345","<r><emacs><ess><r-markdown>","2","9382"
"27004849","<r><latex><rstudio><r-markdown><miktex>","3","9295"
"34280043","<r><r-markdown>","1","9082"
"28748301","<r><latex><rstudio><r-markdown>","3","9066"
"28518368","<r><knitr><r-markdown>","1","9039"
"30938280","<r><r-markdown>","2","8881"
"18884778","<r><knitr><pixels><pandoc><r-markdown>","3","8847"
"19237190","<r><r-markdown>","1","8841"
"36728061","<r><rstudio><r-markdown><spelling>","1","8763"
"37671868","<r><knitr><r-markdown><docx><pandoc>","4","8612"
"30890800","<r><latex><knitr><r-markdown><tex>","4","8344"
"31861569","<r><r-markdown><pandoc>","2","8033"
"32479130","<r><r-markdown>","2","7741"
"29291633","<css><r><rstudio><knitr><r-markdown>","2","7740"
"29389149","<r><pdf><rstudio><r-markdown>","3","7572"
"36866916","<r><knitr><r-markdown>","4","7505"
"33499651","<r><shiny><r-markdown>","2","7492"
"39522390","<latex><knitr><r-markdown>","1","7421"
"29460112","<r><pdf><latex><r-markdown>","3","7415"
"34535155","<r><r-markdown><figure>","1","7396"
"35228773","<r><knitr><r-markdown><pandoc><beamer>","1","7386"
"38062706","<r><r-markdown>","2","7260"
"25425993","<r><r-markdown>","3","7105"
"41860203","<r><console><output><r-markdown>","2","7098"
"20409172","<r><markdown><knitr><r-markdown>","3","7059"
"33181143","<r><ggplot2><rstudio><r-markdown>","2","7019"
"14695892","<r><knitr><rstudio><r-markdown>","3","6979"
"27114926","<r><knitr><r-markdown><xtable>","4","6882"
"27514610","<latex><r-markdown><beamer>","2","6838"
"27444804","<rstudio><knitr><pandoc><r-markdown>","1","6815"
"24472114","<r><markdown><knitr><r-markdown>","1","6806"
"34230391","<r><email><knitr><r-markdown>","1","6793"
"40840986","<r><knitr><r-markdown>","3","6762"
"41365502","<r><pdf><knitr><r-markdown>","1","6669"
"21582402","<r><knitr><r-markdown>","3","6636"
"27120002","<r><knitr><r-markdown>","1","6567"
"40120050","<r-markdown>","1","6544"
"18929782","<r><r-markdown>","3","6477"
"37241578","<r><knitr><r-markdown>","3","6393"
"14796501","<r><knitr><rstudio><r-markdown>","1","6337"
"28962651","<r><pdf><markdown><r-markdown>","1","6299"
"26821326","<r><pdf><latex><r-markdown>","4","6251"
"28894515","<r><rstudio><knitr><r-markdown>","1","6153"
"36451484","<r><r-markdown><dashboard><flexdashboard>","4","6139"
"40563479","<r><knitr><r-markdown><pandoc><bookdown>","1","6105"
"29914059","<r><syntax-highlighting><rstudio><knitr><r-markdown>","2","6077"
"32811527","<r><markdown><r-markdown>","3","6027"
"45399587","<r><markdown><knitr><r-markdown>","1","6011"
"33913780","<r><pdf-generation><r-markdown>","3","5967"
"28073041","<pdf><r-markdown>","1","5936"
"37755037","<r><r-markdown>","3","5912"
"19372260","<r><knitr><rstudio><r-markdown>","1","5903"
"43009788","<html><r><knitr><r-markdown>","2","5884"
"29267605","<r-markdown>","1","5830"
"27246746","<r><markdown><rstudio><knitr><r-markdown>","1","5813"
"19286051","<r><plot><knitr><rstudio><r-markdown>","1","5808"
"33485893","<r><knitr><r-markdown>","3","5737"
"41030477","<css><r><knitr><r-markdown>","3","5703"
"24254552","<css><r><knitr><r-markdown>","2","5678"
"25599860","<r><knitr><r-markdown>","2","5667"
"26616202","<r><r-markdown>","1","5660"
"25866788","<pdf><knitr><rstudio><r-markdown>","1","5646"
"26993254","<r><knitr><r-markdown>","2","5628"
"40414270","<r><r-markdown>","1","5598"
"26234119","<r><markdown><knitr><r-markdown>","1","5589"
"15037046","<r><knitr><r-markdown>","2","5587"
"24020617","<r><knitr><rstudio><textwrapping><r-markdown>","1","5543"
"32492145","<yaml><markdown><rstudio><r-markdown><pandoc>","2","5450"
"32653557","<r><fonts><knitr><r-markdown>","1","5367"
"25024224","<r-markdown>","1","5301"
"25186022","<html><r><knitr><r-markdown><plotly>","2","5207"
"39368928","<r><r-markdown>","1","5204"
"24314086","<r><rstudio><r-markdown>","2","5147"
"33481271","<r><markdown><knitr><r-markdown>","1","5124"
"22954623","<r><r-markdown>","2","5049"
"26456924","<knitr><r-markdown>","2","5041"
"29267258","<r><rstudio><r-markdown><rpres>","3","4962"
"32594532","<r><rstudio><knitr><r-markdown>","1","4954"
"35671530","<r><r-markdown>","2","4877"
"17167140","<r><knitr><pandoc><r-markdown>","2","4873"
"37001038","<r><rstudio><knitr><r-markdown>","1","4855"
"15251751","<r><r-markdown><slidify>","1","4844"
"23589465","<r><r-markdown>","2","4819"
"21729415","<r><knitr><r-markdown>","2","4769"
"24603003","<css><r><knitr><r-markdown>","2","4751"
"24131827","<r><knitr><rstudio><shiny><r-markdown>","1","4722"
"34813408","<r><knitr><r-markdown>","1","4593"
"34903115","<r><knitr><r-markdown>","2","4528"
"38642731","<r><rstudio><knitr><r-markdown>","1","4527"
"29440007","<r><ms-word><rstudio><knitr><r-markdown>","1","4487"
"49084904","<r><markdown><knitr><r-markdown>","2","4482"
"30610555","<r><shiny><r-markdown>","1","4429"
"34808612","<r><pdf-generation><r-markdown>","3","4385"
"46058460","<r><comments><rstudio><r-markdown>","2","4357"
"27880563","<r-markdown><tikz>","2","4335"
"29595348","<r><rstudio><r-markdown><presentation><rpres>","2","4265"
"32083106","<r><r-markdown>","1","4215"
"28166168","<r><markdown><knitr><r-markdown>","2","4204"
"10921722","<r><markdown><knitr><rstudio><r-markdown>","1","4194"
"16173995","<r><knitr><r-markdown>","1","4172"
"30238643","<r><ms-word><knitr><r-markdown><pandoc>","1","4169"
"16287761","<r><knitr><r-markdown>","1","4166"
"34345712","<r><image><rstudio><r-markdown>","1","4130"
"21840878","<r><knitr><r-markdown>","3","4126"
"30922602","<latex><yaml><rstudio><r-markdown><pandoc>","1","4051"
"25867689","<r><pandoc><r-markdown>","1","4018"
"32827651","<r><rstudio><knitr><r-markdown>","1","3977"
"26971785","<r><knitr><pandoc><r-markdown><pander>","1","3969"
"12334652","<r-markdown>","1","3964"
"33566771","<r><latex><r-markdown>","1","3832"
"27714604","<r><html5><youtube><r-markdown><video-embedding>","2","3818"
"39814916","<r><github><rstudio><r-markdown>","1","3817"
"20673983","<jekyll><github-pages><r-markdown>","2","3803"
"29354529","<r><knitr><dplyr><r-markdown>","0","3751"
"34139515","<r><knitr><r-markdown>","2","3748"
"39281266","<html><rstudio><knitr><r-markdown>","2","3745"
"44490209","<r><pdf><latex><r-markdown>","1","3719"
"43677965","<r><plot><save><r-markdown><show>","0","3716"
"36674824","<r><knitr><r-markdown>","3","3695"
"35157070","<jquery><r><datatables><r-markdown>","2","3690"
"49140030","<r><r-markdown>","1","3665"
"30476119","<r><knitr><r-markdown>","1","3636"
"43245920","<r-markdown><beamer><stargazer>","1","3627"
"17593912","<r><markdown><knitr><r-markdown>","1","3599"
"29599724","<r><rstudio><r-markdown><slidify>","1","3593"
"39671612","<r><latex><r-markdown>","0","3592"
"43222169","<html><r-markdown>","1","3573"
"27702019","<r><r-markdown>","2","3548"
"40892802","<r><pdf><markdown><r-markdown>","1","3505"
"25819539","<r><d3.js><r-markdown>","2","3490"
"29253481","<r><shiny><r-markdown>","1","3476"
"31037907","<r><pdf><knitr><r-markdown><vignette>","1","3441"
"44101055","<r><formatting><r-markdown><dt>","2","3437"
"19184314","<r><knitr><rstudio><r-markdown>","1","3425"
"39274894","<r><latex><r-markdown>","1","3407"
"37803240","<knitr><r-markdown><pandoc><xelatex>","1","3397"
"43833096","<r><r-markdown>","0","3387"
"32183333","<r><rstudio><knitr><r-markdown>","2","3379"
"27941696","<r><rstudio><r-markdown>","2","3370"
"29152082","<r><knitr><r-markdown>","1","3351"
